EpLenMean,EpRewMean,EpThisIter,EpisodesSoFar,TimeElapsed,TimestepsSoFar,ev_tdlam_before,loss_ent,loss_kl,loss_pol_entpen,loss_pol_surr,loss_vf_loss
100.85,100.85,17,2037,184.7440927028656,190217,0.891658715903759,0.59659123,0.009452048,0.0,-0.0071687754,41.198612
111.36,111.36,17,2054,186.74701952934265,192112,0.8841396123170853,0.5919817,0.008862777,0.0,-0.018559154,40.971653
96.82,96.82,28,2082,188.65668892860413,194426,0.8840633407235146,0.5903797,0.0042074984,0.0,-0.01884408,55.01678
107.36,107.36,17,2099,190.62449884414673,196302,0.8774528503417969,0.58962935,0.008125185,0.0,-0.02264951,40.69878
72.78,72.78,39,2138,192.6642246246338,198495,0.9328969642519951,0.5896453,0.010488258,0.0,-0.013691092,37.4046
79.06,79.06,9,2147,194.50354743003845,200011,0.8068765550851822,0.5860931,0.030091038,0.0,-0.035601575,33.240627
82.87,82.87,32,2179,196.57204580307007,202710,0.8693492114543915,0.5885456,0.0065880953,0.0,-0.015829623,54.80474
102.85,102.85,2,2181,198.47378540039062,204710,0.7922803461551666,0.593282,0.05403992,0.0,-0.045375366,45.39969
112.84,112.84,2,2183,200.3369140625,206710,0.7684524953365326,0.59416956,0.0217886,0.0,-0.01250026,44.545444
128.46,128.46,2,2185,202.18404579162598,208710,0.769494891166687,0.5964233,0.01756008,0.0,-0.0133721,43.039886
139.73,139.73,9,2194,204.0097005367279,210270,0.896380178630352,0.595577,0.10044827,0.0,-0.010831256,29.318316
161.08,161.08,12,2206,205.8241789340973,212816,0.8318752646446228,0.5936215,0.007626333,0.0,0.007862259,49.204353
176.26,176.26,2,2208,207.57455015182495,214816,0.7779450118541718,0.59545875,0.012342735,0.0,-0.006091863,41.34732
187.65,187.65,18,2226,209.54215693473816,216764,0.8754027187824249,0.59351903,0.0073841363,0.0,-0.011620581,40.158207
207.63,207.63,2,2228,211.45439410209656,218764,0.8146537095308304,0.5950661,0.0254826,0.0,-0.03658112,43.393673
217.33,217.33,9,2237,213.4414451122284,220227,0.8834890872240067,0.58861655,0.0321697,0.0,-0.039930858,29.918198
217.51,217.51,11,2248,215.3708348274231,222762,0.8272350579500198,0.58806497,0.020090988,0.0,-0.027956903,50.16983
232.93,232.93,2,2250,217.24347138404846,224762,0.7989104986190796,0.58551025,0.01770506,0.0,-0.027278742,42.72086
